,age_end,age_start,education_state,ethnicity,mean_value,sex,year_end,year_start
90,91,90,A-Level,BAN,0.0,Male,2012,2011
91,92,91,A-Level,BAN,0.0,Male,2012,2011
92,93,92,A-Level,BAN,0.0,Male,2012,2011
93,94,93,A-Level,BAN,0.0,Male,2012,2011
94,95,94,A-Level,BAN,0.0,Male,2012,2011
95,96,95,A-Level,BAN,0.0,Male,2012,2011
96,97,96,A-Level,BAN,0.0,Male,2012,2011
97,98,97,A-Level,BAN,0.0,Male,2012,2011
98,99,98,A-Level,BAN,0.0,Male,2012,2011
99,100,99,A-Level,BAN,0.0,Male,2012,2011
100,1,0,A-Level,BAN,0.0,Female,2012,2011
101,2,1,A-Level,BAN,0.0,Female,2012,2011
102,3,2,A-Level,BAN,0.0,Female,2012,2011
103,4,3,A-Level,BAN,0.0,Female,2012,2011
104,5,4,A-Level,BAN,0.0,Female,2012,2011
105,6,5,A-Level,BAN,0.0,Female,2012,2011
106,7,6,A-Level,BAN,0.0,Female,2012,2011
107,8,7,A-Level,BAN,0.0,Female,2012,2011
108,9,8,A-Level,BAN,0.0,Female,2012,2011
109,10,9,A-Level,BAN,0.0,Female,2012,2011
110,11,10,A-Level,BAN,0.0,Female,2012,2011
111,12,11,A-Level,BAN,0.0,Female,2012,2011
112,13,12,A-Level,BAN,0.0,Female,2012,2011
113,14,13,A-Level,BAN,0.0,Female,2012,2011
114,15,14,A-Level,BAN,0.0,Female,2012,2011
115,16,15,A-Level,BAN,0.0,Female,2012,2011
116,17,16,A-Level,BAN,5.0,Female,2012,2011
117,18,17,A-Level,BAN,3.894003915357025,Female,2012,2011
118,19,18,A-Level,BAN,3.032653298563167,Female,2012,2011
119,20,19,A-Level,BAN,2.3618327637050736,Female,2012,2011
120,21,20,A-Level,BAN,0.0,Female,2012,2011
121,22,21,A-Level,BAN,0.0,Female,2012,2011
122,23,22,A-Level,BAN,0.0,Female,2012,2011
123,24,23,A-Level,BAN,0.0,Female,2012,2011
124,25,24,A-Level,BAN,0.0,Female,2012,2011
125,26,25,A-Level,BAN,0.0,Female,2012,2011
126,27,26,A-Level,BAN,0.0,Female,2012,2011
127,28,27,A-Level,BAN,0.0,Female,2012,2011
128,29,28,A-Level,BAN,0.0,Female,2012,2011
129,30,29,A-Level,BAN,0.0,Female,2012,2011
130,31,30,A-Level,BAN,0.0,Female,2012,2011
131,32,31,A-Level,BAN,0.0,Female,2012,2011
132,33,32,A-Level,BAN,0.0,Female,2012,2011
133,34,33,A-Level,BAN,0.0,Female,2012,2011
134,35,34,A-Level,BAN,0.0,Female,2012,2011
135,36,35,A-Level,BAN,0.0,Female,2012,2011
136,37,36,A-Level,BAN,0.0,Female,2012,2011
137,38,37,A-Level,BAN,0.0,Female,2012,2011
138,39,38,A-Level,BAN,0.0,Female,2012,2011
139,40,39,A-Level,BAN,0.0,Female,2012,2011
140,41,40,A-Level,BAN,0.0,Female,2012,2011
141,42,41,A-Level,BAN,0.0,Female,2012,2011
142,43,42,A-Level,BAN,0.0,Female,2012,2011
143,44,43,A-Level,BAN,0.0,Female,2012,2011
144,45,44,A-Level,BAN,0.0,Female,2012,2011
145,46,45,A-Level,BAN,0.0,Female,2012,2011
146,47,46,A-Level,BAN,0.0,Female,2012,2011
147,48,47,A-Level,BAN,0.0,Female,2012,2011
148,49,48,A-Level,BAN,0.0,Female,2012,2011
149,50,49,A-Level,BAN,0.0,Female,2012,2011
150,51,50,A-Level,BAN,0.0,Female,2012,2011
151,52,51,A-Level,BAN,0.0,Female,2012,2011
152,53,52,A-Level,BAN,0.0,Female,2012,2011
153,54,53,A-Level,BAN,0.0,Female,2012,2011
154,55,54,A-Level,BAN,0.0,Female,2012,2011
155,56,55,A-Level,BAN,0.0,Female,2012,2011
156,57,56,A-Level,BAN,0.0,Female,2012,2011
157,58,57,A-Level,BAN,0.0,Female,2012,2011
158,59,58,A-Level,BAN,0.0,Female,2012,2011
159,60,59,A-Level,BAN,0.0,Female,2012,2011
160,61,60,A-Level,BAN,0.0,Female,2012,2011
161,62,61,A-Level,BAN,0.0,Female,2012,2011
162,63,62,A-Level,BAN,0.0,Female,2012,2011
163,64,63,A-Level,BAN,0.0,Female,2012,2011
164,65,64,A-Level,BAN,0.0,Female,2012,2011
165,66,65,A-Level,BAN,0.0,Female,2012,2011
166,67,66,A-Level,BAN,0.0,Female,2012,2011
167,68,67,A-Level,BAN,0.0,Female,2012,2011
168,69,68,A-Level,BAN,0.0,Female,2012,2011
169,70,69,A-Level,BAN,0.0,Female,2012,2011
170,71,70,A-Level,BAN,0.0,Female,2012,2011
171,72,71,A-Level,BAN,0.0,Female,2012,2011
172,73,72,A-Level,BAN,0.0,Female,2012,2011
173,74,73,A-Level,BAN,0.0,Female,2012,2011
174,75,74,A-Level,BAN,0.0,Female,2012,2011
175,76,75,A-Level,BAN,0.0,Female,2012,2011
176,77,76,A-Level,BAN,0.0,Female,2012,2011
177,78,77,A-Level,BAN,0.0,Female,2012,2011
178,79,78,A-Level,BAN,0.0,Female,2012,2011
179,80,79,A-Level,BAN,0.0,Female,2012,2011
180,81,80,A-Level,BAN,0.0,Female,2012,2011
181,82,81,A-Level,BAN,0.0,Female,2012,2011
182,83,82,A-Level,BAN,0.0,Female,2012,2011
183,84,83,A-Level,BAN,0.0,Female,2012,2011
184,85,84,A-Level,BAN,0.0,Female,2012,2011
185,86,85,A-Level,BAN,0.0,Female,2012,2011
186,87,86,A-Level,BAN,0.0,Female,2012,2011
187,88,87,A-Level,BAN,0.0,Female,2012,2011
188,89,88,A-Level,BAN,0.0,Female,2012,2011
189,90,89,A-Level,BAN,0.0,Female,2012,2011
190,91,90,A-Level,BAN,0.0,Female,2012,2011
191,92,91,A-Level,BAN,0.0,Female,2012,2011
192,93,92,A-Level,BAN,0.0,Female,2012,2011
193,94,93,A-Level,BAN,0.0,Female,2012,2011
194,95,94,A-Level,BAN,0.0,Female,2012,2011
195,96,95,A-Level,BAN,0.0,Female,2012,2011
196,97,96,A-Level,BAN,0.0,Female,2012,2011
197,98,97,A-Level,BAN,0.0,Female,2012,2011
198,99,98,A-Level,BAN,0.0,Female,2012,2011
199,100,99,A-Level,BAN,0.0,Female,2012,2011
200,1,0,A2-Level,BAN,0.0,Male,2012,2011
201,2,1,A2-Level,BAN,0.0,Male,2012,2011
202,3,2,A2-Level,BAN,0.0,Male,2012,2011
203,4,3,A2-Level,BAN,0.0,Male,2012,2011
204,5,4,A2-Level,BAN,0.0,Male,2012,2011
205,6,5,A2-Level,BAN,0.0,Male,2012,2011
206,7,6,A2-Level,BAN,0.0,Male,2012,2011
207,8,7,A2-Level,BAN,0.0,Male,2012,2011
208,9,8,A2-Level,BAN,0.0,Male,2012,2011
209,10,9,A2-Level,BAN,0.0,Male,2012,2011
210,11,10,A2-Level,BAN,0.0,Male,2012,2011
211,12,11,A2-Level,BAN,0.0,Male,2012,2011
212,13,12,A2-Level,BAN,0.0,Male,2012,2011
213,14,13,A2-Level,BAN,0.0,Male,2012,2011
214,15,14,A2-Level,BAN,0.0,Male,2012,2011
215,16,15,A2-Level,BAN,0.0,Male,2012,2011
216,17,16,A2-Level,BAN,5.0,Male,2012,2011
217,18,17,A2-Level,BAN,3.894003915357025,Male,2012,2011
218,19,18,A2-Level,BAN,3.032653298563167,Male,2012,2011
219,20,19,A2-Level,BAN,0.0,Male,2012,2011
220,21,20,A2-Level,BAN,0.0,Male,2012,2011
221,22,21,A2-Level,BAN,0.0,Male,2012,2011
222,23,22,A2-Level,BAN,0.0,Male,2012,2011
223,24,23,A2-Level,BAN,0.0,Male,2012,2011
224,25,24,A2-Level,BAN,0.0,Male,2012,2011
225,26,25,A2-Level,BAN,0.0,Male,2012,2011
226,27,26,A2-Level,BAN,0.0,Male,2012,2011
227,28,27,A2-Level,BAN,0.0,Male,2012,2011
228,29,28,A2-Level,BAN,0.0,Male,2012,2011
229,30,29,A2-Level,BAN,0.0,Male,2012,2011
230,31,30,A2-Level,BAN,0.0,Male,2012,2011
231,32,31,A2-Level,BAN,0.0,Male,2012,2011
232,33,32,A2-Level,BAN,0.0,Male,2012,2011
233,34,33,A2-Level,BAN,0.0,Male,2012,2011
234,35,34,A2-Level,BAN,0.0,Male,2012,2011
235,36,35,A2-Level,BAN,0.0,Male,2012,2011
236,37,36,A2-Level,BAN,0.0,Male,2012,2011
237,38,37,A2-Level,BAN,0.0,Male,2012,2011
238,39,38,A2-Level,BAN,0.0,Male,2012,2011
239,40,39,A2-Level,BAN,0.0,Male,2012,2011
240,41,40,A2-Level,BAN,0.0,Male,2012,2011
241,42,41,A2-Level,BAN,0.0,Male,2012,2011
242,43,42,A2-Level,BAN,0.0,Male,2012,2011
243,44,43,A2-Level,BAN,0.0,Male,2012,2011
244,45,44,A2-Level,BAN,0.0,Male,2012,2011
245,46,45,A2-Level,BAN,0.0,Male,2012,2011
246,47,46,A2-Level,BAN,0.0,Male,2012,2011
247,48,47,A2-Level,BAN,0.0,Male,2012,2011
248,49,48,A2-Level,BAN,0.0,Male,2012,2011
249,50,49,A2-Level,BAN,0.0,Male,2012,2011
250,51,50,A2-Level,BAN,0.0,Male,2012,2011
251,52,51,A2-Level,BAN,0.0,Male,2012,2011
252,53,52,A2-Level,BAN,0.0,Male,2012,2011
253,54,53,A2-Level,BAN,0.0,Male,2012,2011
254,55,54,A2-Level,BAN,0.0,Male,2012,2011
255,56,55,A2-Level,BAN,0.0,Male,2012,2011
256,57,56,A2-Level,BAN,0.0,Male,2012,2011
257,58,57,A2-Level,BAN,0.0,Male,2012,2011
258,59,58,A2-Level,BAN,0.0,Male,2012,2011
259,60,59,A2-Level,BAN,0.0,Male,2012,2011
260,61,60,A2-Level,BAN,0.0,Male,2012,2011
261,62,61,A2-Level,BAN,0.0,Male,2012,2011
262,63,62,A2-Level,BAN,0.0,Male,2012,2011
263,64,63,A2-Level,BAN,0.0,Male,2012,2011
264,65,64,A2-Level,BAN,0.0,Male,2012,2011
265,66,65,A2-Level,BAN,0.0,Male,2012,2011
266,67,66,A2-Level,BAN,0.0,Male,2012,2011
267,68,67,A2-Level,BAN,0.0,Male,2012,2011
268,69,68,A2-Level,BAN,0.0,Male,2012,2011
269,70,69,A2-Level,BAN,0.0,Male,2012,2011
270,71,70,A2-Level,BAN,0.0,Male,2012,2011
271,72,71,A2-Level,BAN,0.0,Male,2012,2011
272,73,72,A2-Level,BAN,0.0,Male,2012,2011
273,74,73,A2-Level,BAN,0.0,Male,2012,2011
274,75,74,A2-Level,BAN,0.0,Male,2012,2011
275,76,75,A2-Level,BAN,0.0,Male,2012,2011
276,77,76,A2-Level,BAN,0.0,Male,2012,2011
277,78,77,A2-Level,BAN,0.0,Male,2012,2011
278,79,78,A2-Level,BAN,0.0,Male,2012,2011
279,80,79,A2-Level,BAN,0.0,Male,2012,2011
280,81,80,A2-Level,BAN,0.0,Male,2012,2011
281,82,81,A2-Level,BAN,0.0,Male,2012,2011
282,83,82,A2-Level,BAN,0.0,Male,2012,2011
283,84,83,A2-Level,BAN,0.0,Male,2012,2011
284,85,84,A2-Level,BAN,0.0,Male,2012,2011
285,86,85,A2-Level,BAN,0.0,Male,2012,2011
286,87,86,A2-Level,BAN,0.0,Male,2012,2011
287,88,87,A2-Level,BAN,0.0,Male,2012,2011
288,89,88,A2-Level,BAN,0.0,Male,2012,2011
289,90,89,A2-Level,BAN,0.0,Male,2012,2011
290,91,90,A2-Level,BAN,0.0,Male,2012,2011
291,92,91,A2-Level,BAN,0.0,Male,2012,2011
292,93,92,A2-Level,BAN,0.0,Male,2012,2011
293,94,93,A2-Level,BAN,0.0,Male,2012,2011
294,95,94,A2-Level,BAN,0.0,Male,2012,2011
295,96,95,A2-Level,BAN,0.0,Male,2012,2011
296,97,96,A2-Level,BAN,0.0,Male,2012,2011
297,98,97,A2-Level,BAN,0.0,Male,2012,2011
298,99,98,A2-Level,BAN,0.0,Male,2012,2011
299,100,99,A2-Level,BAN,0.0,Male,2012,2011
300,1,0,A2-Level,BAN,0.0,Female,2012,2011
301,2,1,A2-Level,BAN,0.0,Female,2012,2011
302,3,2,A2-Level,BAN,0.0,Female,2012,2011
303,4,3,A2-Level,BAN,0.0,Female,2012,2011
304,5,4,A2-Level,BAN,0.0,Female,2012,2011
305,6,5,A2-Level,BAN,0.0,Female,2012,2011
306,7,6,A2-Level,BAN,0.0,Female,2012,2011
307,8,7,A2-Level,BAN,0.0,Female,2012,2011
308,9,8,A2-Level,BAN,0.0,Female,2012,2011
309,10,9,A2-Level,BAN,0.0,Female,2012,2011
310,11,10,A2-Level,BAN,0.0,Female,2012,2011
311,12,11,A2-Level,BAN,0.0,Female,2012,2011
312,13,12,A2-Level,BAN,0.0,Female,2012,2011
313,14,13,A2-Level,BAN,0.0,Female,2012,2011
314,15,14,A2-Level,BAN,0.0,Female,2012,2011
315,16,15,A2-Level,BAN,0.0,Female,2012,2011
316,17,16,A2-Level,BAN,0.0,Female,2012,2011
317,18,17,A2-Level,BAN,5.0,Female,2012,2011
318,19,18,A2-Level,BAN,3.894003915357025,Female,2012,2011
319,20,19,A2-Level,BAN,3.032653298563167,Female,2012,2011
320,21,20,A2-Level,BAN,0.0,Female,2012,2011
321,22,21,A2-Level,BAN,0.0,Female,2012,2011
322,23,22,A2-Level,BAN,0.0,Female,2012,2011
323,24,23,A2-Level,BAN,0.0,Female,2012,2011
324,25,24,A2-Level,BAN,0.0,Female,2012,2011
325,26,25,A2-Level,BAN,0.0,Female,2012,2011
326,27,26,A2-Level,BAN,0.0,Female,2012,2011
327,28,27,A2-Level,BAN,0.0,Female,2012,2011
328,29,28,A2-Level,BAN,0.0,Female,2012,2011
329,30,29,A2-Level,BAN,0.0,Female,2012,2011
330,31,30,A2-Level,BAN,0.0,Female,2012,2011
331,32,31,A2-Level,BAN,0.0,Female,2012,2011
332,33,32,A2-Level,BAN,0.0,Female,2012,2011
333,34,33,A2-Level,BAN,0.0,Female,2012,2011
334,35,34,A2-Level,BAN,0.0,Female,2012,2011
335,36,35,A2-Level,BAN,0.0,Female,2012,2011
336,37,36,A2-Level,BAN,0.0,Female,2012,2011
337,38,37,A2-Level,BAN,0.0,Female,2012,2011
338,39,38,A2-Level,BAN,0.0,Female,2012,2011
339,40,39,A2-Level,BAN,0.0,Female,2012,2011
340,41,40,A2-Level,BAN,0.0,Female,2012,2011
341,42,41,A2-Level,BAN,0.0,Female,2012,2011
342,43,42,A2-Level,BAN,0.0,Female,2012,2011
343,44,43,A2-Level,BAN,0.0,Female,2012,2011
344,45,44,A2-Level,BAN,0.0,Female,2012,2011
345,46,45,A2-Level,BAN,0.0,Female,2012,2011
346,47,46,A2-Level,BAN,0.0,Female,2012,2011
347,48,47,A2-Level,BAN,0.0,Female,2012,2011
348,49,48,A2-Level,BAN,0.0,Female,2012,2011
349,50,49,A2-Level,BAN,0.0,Female,2012,2011
350,51,50,A2-Level,BAN,0.0,Female,2012,2011
351,52,51,A2-Level,BAN,0.0,Female,2012,2011
352,53,52,A2-Level,BAN,0.0,Female,2012,2011
353,54,53,A2-Level,BAN,0.0,Female,2012,2011
354,55,54,A2-Level,BAN,0.0,Female,2012,2011
355,56,55,A2-Level,BAN,0.0,Female,2012,2011
356,57,56,A2-Level,BAN,0.0,Female,2012,2011
357,58,57,A2-Level,BAN,0.0,Female,2012,2011
358,59,58,A2-Level,BAN,0.0,Female,2012,2011
359,60,59,A2-Level,BAN,0.0,Female,2012,2011
360,61,60,A2-Level,BAN,0.0,Female,2012,2011
361,62,61,A2-Level,BAN,0.0,Female,2012,2011
362,63,62,A2-Level,BAN,0.0,Female,2012,2011
363,64,63,A2-Level,BAN,0.0,Female,2012,2011
364,65,64,A2-Level,BAN,0.0,Female,2012,2011
365,66,65,A2-Level,BAN,0.0,Female,2012,2011
366,67,66,A2-Level,BAN,0.0,Female,2012,2011
367,68,67,A2-Level,BAN,0.0,Female,2012,2011
368,69,68,A2-Level,BAN,0.0,Female,2012,2011
369,70,69,A2-Level,BAN,0.0,Female,2012,2011
370,71,70,A2-Level,BAN,0.0,Female,2012,2011
371,72,71,A2-Level,BAN,0.0,Female,2012,2011
372,73,72,A2-Level,BAN,0.0,Female,2012,2011
373,74,73,A2-Level,BAN,0.0,Female,2012,2011
374,75,74,A2-Level,BAN,0.0,Female,2012,2011
375,76,75,A2-Level,BAN,0.0,Female,2012,2011
376,77,76,A2-Level,BAN,0.0,Female,2012,2011
377,78,77,A2-Level,BAN,0.0,Female,2012,2011
378,79,78,A2-Level,BAN,0.0,Female,2012,2011
379,80,79,A2-Level,BAN,0.0,Female,2012,2011
380,81,80,A2-Level,BAN,0.0,Female,2012,2011
381,82,81,A2-Level,BAN,0.0,Female,2012,2011
382,83,82,A2-Level,BAN,0.0,Female,2012,2011
383,84,83,A2-Level,BAN,0.0,Female,2012,2011
384,85,84,A2-Level,BAN,0.0,Female,2012,2011
385,86,85,A2-Level,BAN,0.0,Female,2012,2011
386,87,86,A2-Level,BAN,0.0,Female,2012,2011
387,88,87,A2-Level,BAN,0.0,Female,2012,2011
388,89,88,A2-Level,BAN,0.0,Female,2012,2011
389,90,89,A2-Level,BAN,0.0,Female,2012,2011
390,91,90,A2-Level,BAN,0.0,Female,2012,2011
391,92,91,A2-Level,BAN,0.0,Female,2012,2011
392,93,92,A2-Level,BAN,0.0,Female,2012,2011
393,94,93,A2-Level,BAN,0.0,Female,2012,2011
394,95,94,A2-Level,BAN,0.0,Female,2012,2011
395,96,95,A2-Level,BAN,0.0,Female,2012,2011
396,97,96,A2-Level,BAN,0.0,Female,2012,2011
397,98,97,A2-Level,BAN,0.0,Female,2012,2011
398,99,98,A2-Level,BAN,0.0,Female,2012,2011
399,100,99,A2-Level,BAN,0.0,Female,2012,2011
400,1,0,AS-Level,BAN,0.0,Male,2012,2011
401,2,1,AS-Level,BAN,0.0,Male,2012,2011
402,3,2,AS-Level,BAN,0.0,Male,2012,2011
403,4,3,AS-Level,BAN,0.0,Male,2012,2011
404,5,4,AS-Level,BAN,0.0,Male,2012,2011
405,6,5,AS-Level,BAN,0.0,Male,2012,2011
406,7,6,AS-Level,BAN,0.0,Male,2012,2011
407,8,7,AS-Level,BAN,0.0,Male,2012,2011
408,9,8,AS-Level,BAN,0.0,Male,2012,2011
409,10,9,AS-Level,BAN,0.0,Male,2012,2011
410,11,10,AS-Level,BAN,0.0,Male,2012,2011
411,12,11,AS-Level,BAN,0.0,Male,2012,2011
412,13,12,AS-Level,BAN,0.0,Male,2012,2011
413,14,13,AS-Level,BAN,0.0,Male,2012,2011
414,15,14,AS-Level,BAN,5.0,Male,2012,2011
415,16,15,AS-Level,BAN,3.894003915357025,Male,2012,2011
416,17,16,AS-Level,BAN,3.032653298563167,Male,2012,2011
417,18,17,AS-Level,BAN,0.0,Male,2012,2011
418,19,18,AS-Level,BAN,0.0,Male,2012,2011
419,20,19,AS-Level,BAN,0.0,Male,2012,2011
420,21,20,AS-Level,BAN,0.0,Male,2012,2011
421,22,21,AS-Level,BAN,0.0,Male,2012,2011
422,23,22,AS-Level,BAN,0.0,Male,2012,2011
423,24,23,AS-Level,BAN,0.0,Male,2012,2011
424,25,24,AS-Level,BAN,0.0,Male,2012,2011
425,26,25,AS-Level,BAN,0.0,Male,2012,2011
426,27,26,AS-Level,BAN,0.0,Male,2012,2011
427,28,27,AS-Level,BAN,0.0,Male,2012,2011
428,29,28,AS-Level,BAN,0.0,Male,2012,2011
429,30,29,AS-Level,BAN,0.0,Male,2012,2011
430,31,30,AS-Level,BAN,0.0,Male,2012,2011
431,32,31,AS-Level,BAN,0.0,Male,2012,2011
432,33,32,AS-Level,BAN,0.0,Male,2012,2011
433,34,33,AS-Level,BAN,0.0,Male,2012,2011
434,35,34,AS-Level,BAN,0.0,Male,2012,2011
435,36,35,AS-Level,BAN,0.0,Male,2012,2011
436,37,36,AS-Level,BAN,0.0,Male,2012,2011
437,38,37,AS-Level,BAN,0.0,Male,2012,2011
438,39,38,AS-Level,BAN,0.0,Male,2012,2011
439,40,39,AS-Level,BAN,0.0,Male,2012,2011
440,41,40,AS-Level,BAN,0.0,Male,2012,2011
441,42,41,AS-Level,BAN,0.0,Male,2012,2011
442,43,42,AS-Level,BAN,0.0,Male,2012,2011
443,44,43,AS-Level,BAN,0.0,Male,2012,2011
444,45,44,AS-Level,BAN,0.0,Male,2012,2011
445,46,45,AS-Level,BAN,0.0,Male,2012,2011
446,47,46,AS-Level,BAN,0.0,Male,2012,2011
447,48,47,AS-Level,BAN,0.0,Male,2012,2011
448,49,48,AS-Level,BAN,0.0,Male,2012,2011
449,50,49,AS-Level,BAN,0.0,Male,2012,2011
450,51,50,AS-Level,BAN,0.0,Male,2012,2011
451,52,51,AS-Level,BAN,0.0,Male,2012,2011
452,53,52,AS-Level,BAN,0.0,Male,2012,2011
453,54,53,AS-Level,BAN,0.0,Male,2012,2011
454,55,54,AS-Level,BAN,0.0,Male,2012,2011
455,56,55,AS-Level,BAN,0.0,Male,2012,2011
456,57,56,AS-Level,BAN,0.0,Male,2012,2011
457,58,57,AS-Level,BAN,0.0,Male,2012,2011
458,59,58,AS-Level,BAN,0.0,Male,2012,2011
459,60,59,AS-Level,BAN,0.0,Male,2012,2011
460,61,60,AS-Level,BAN,0.0,Male,2012,2011
461,62,61,AS-Level,BAN,0.0,Male,2012,2011
462,63,62,AS-Level,BAN,0.0,Male,2012,2011
463,64,63,AS-Level,BAN,0.0,Male,2012,2011
464,65,64,AS-Level,BAN,0.0,Male,2012,2011
465,66,65,AS-Level,BAN,0.0,Male,2012,2011
466,67,66,AS-Level,BAN,0.0,Male,2012,2011
467,68,67,AS-Level,BAN,0.0,Male,2012,2011
468,69,68,AS-Level,BAN,0.0,Male,2012,2011
469,70,69,AS-Level,BAN,0.0,Male,2012,2011
470,71,70,AS-Level,BAN,0.0,Male,2012,2011
471,72,71,AS-Level,BAN,0.0,Male,2012,2011
472,73,72,AS-Level,BAN,0.0,Male,2012,2011
473,74,73,AS-Level,BAN,0.0,Male,2012,2011
474,75,74,AS-Level,BAN,0.0,Male,2012,2011
475,76,75,AS-Level,BAN,0.0,Male,2012,2011
476,77,76,AS-Level,BAN,0.0,Male,2012,2011
477,78,77,AS-Level,BAN,0.0,Male,2012,2011
478,79,78,AS-Level,BAN,0.0,Male,2012,2011
479,80,79,AS-Level,BAN,0.0,Male,2012,2011
480,81,80,AS-Level,BAN,0.0,Male,2012,2011
481,82,81,AS-Level,BAN,0.0,Male,2012,2011
482,83,82,AS-Level,BAN,0.0,Male,2012,2011
483,84,83,AS-Level,BAN,0.0,Male,2012,2011
484,85,84,AS-Level,BAN,0.0,Male,2012,2011
