Inflation,Quarter,Value
CPI outturn index,2018Q4,106.948
CPI outturn index,2019Q1,106.710666667
CPI outturn index,2019Q2,107.838
CPI outturn index,2019Q3,108.267666667
CPI outturn index,2019Q4,108.459666667
CPI outturn index,2020Q1,108.489666667
CPI outturn index,2020Q2,108.503
CPI outturn index,2020Q3,108.913666667
CPI outturn index,2020Q4,109.038333333
CPI outturn index,2021Q1,109.151
CPI outturn index,2021Q2,110.729333333
CPI outturn index,2021Q3,111.932333333
CPI outturn index,2021Q4,114.389333333
CPI outturn index,2022Q1,115.939666667
CPI outturn index,2022Q2,120.882333333
CPI outturn index,2022Q3,123.150333333
CPI outturn index,2022Q4,126.685666667
GDP deflator forecast,2022Q4,6.647940075
GDP deflator forecast,2023Q1,4.138697903
GDP deflator forecast,2023Q2,3.553706763
GDP deflator forecast,2023Q3,2.384729516
GDP deflator forecast,2023Q4,1.541709739
GDP deflator forecast,2024Q1,2.648184363
GDP deflator forecast,2024Q2,1.929663207
GDP deflator forecast,2024Q3,1.684799760
GDP deflator forecast,2024Q4,1.392756490
GDP deflator forecast,2025Q1,1.276313217
GDP deflator forecast,2025Q2,1.015053917
GDP deflator forecast,2025Q3,1.011223083
GDP deflator forecast,2025Q4,0.960479349
GDP deflator forecast,2026Q1,0.868531008
GDP deflator forecast,2026Q2,0.975453645
GDP deflator forecast,2026Q3,1.054639880
GDP deflator forecast,2026Q4,1.258819808
GDP deflator forecast,2027Q1,1.498396274
GDP deflator forecast,2027Q2,1.573414104
GDP deflator forecast,2027Q3,1.654445998
GDP deflator forecast,2027Q4,1.710978500
GDP deflator forecast,2028Q1,1.669496303
GDP deflator forecast index,2022Q4,113.9
GDP deflator forecast index,2023Q1,113.094625923
GDP deflator forecast index,2023Q2,114.426845974
GDP deflator forecast index,2023Q3,115.080435976
GDP deflator forecast index,2023Q4,115.656007392
GDP deflator forecast index,2024Q1,116.089580121
GDP deflator forecast index,2024Q2,116.634898720
GDP deflator forecast index,2024Q3,117.019310885
GDP deflator forecast index,2024Q4,117.266813942
GDP deflator forecast index,2025Q1,117.571246776
GDP deflator forecast index,2025Q2,117.818805828
GDP deflator forecast index,2025Q3,118.202637169
GDP deflator forecast index,2025Q4,118.393137472
GDP deflator forecast index,2026Q1,118.592389511
GDP deflator forecast index,2026Q2,118.968073664
GDP deflator forecast index,2026Q3,119.449249320
GDP deflator forecast index,2026Q4,119.883493738
GDP deflator forecast index,2027Q1,120.369373457
GDP deflator forecast index,2027Q2,120.839934115
GDP deflator forecast index,2027Q3,121.425472644
GDP deflator forecast index,2027Q4,121.934674541
GDP deflator forecast index,2028Q1,122.378935698
GDP deflator outturn,2010Q1,1.420118343
GDP deflator outturn,2010Q2,1.416765053
GDP deflator outturn,2010Q3,0.821596244
GDP deflator outturn,2010Q4,2.130177515
GDP deflator outturn,2011Q1,2.333722287
GDP deflator outturn,2011Q2,1.513387660
GDP deflator outturn,2011Q3,2.328288708
GDP deflator outturn,2011Q4,2.317497103
GDP deflator outturn,2012Q1,1.026225770
GDP deflator outturn,2012Q2,1.949541284
GDP deflator outturn,2012Q3,1.478953356
GDP deflator outturn,2012Q4,1.359003398
GDP deflator outturn,2013Q1,2.031602709
GDP deflator outturn,2013Q2,2.024746907
GDP deflator outturn,2013Q3,2.578475336
GDP deflator outturn,2013Q4,2.122905028
GDP deflator outturn,2014Q1,1.659292035
GDP deflator outturn,2014Q2,0.992282249
GDP deflator outturn,2014Q3,1.202185792
GDP deflator outturn,2014Q4,1.312910284
GDP deflator outturn,2015Q1,0.979325354
GDP deflator outturn,2015Q2,0.873362445
GDP deflator outturn,2015Q3,0.215982721
GDP deflator outturn,2015Q4,0.755939525
GDP deflator outturn,2016Q1,1.185344828
GDP deflator outturn,2016Q2,1.731601732
GDP deflator outturn,2016Q3,2.155172414
GDP deflator outturn,2016Q4,2.250803859
GDP deflator outturn,2017Q1,2.023429180
GDP deflator outturn,2017Q2,2.127659574
GDP deflator outturn,2017Q3,1.476793249
GDP deflator outturn,2017Q4,1.677148847
GDP deflator outturn,2018Q1,1.461377871
GDP deflator outturn,2018Q2,1.770833333
GDP deflator outturn,2018Q3,1.871101871
GDP deflator outturn,2018Q4,1.855670103
GDP deflator outturn,2019Q1,1.748971193
GDP deflator outturn,2019Q2,2.047082907
GDP deflator outturn,2019Q3,2.346938776
GDP deflator outturn,2019Q4,2.327935223
GDP deflator outturn,2020Q1,3.640040445
GDP deflator outturn,2020Q2,10.531594784
GDP deflator outturn,2020Q3,5.782652044
GDP deflator outturn,2020Q4,4.747774481
GDP deflator outturn,2021Q1,4.097560976
GDP deflator outturn,2021Q2,-4.990925590
GDP deflator outturn,2021Q3,-0.471253534
GDP deflator outturn,2021Q4,0.849858357
GDP deflator outturn,2022Q1,1.780693533
GDP deflator outturn,2022Q2,5.539637058
GDP deflator outturn,2022Q3,6.439393939
GDP deflator outturn,2022Q4,6.647940075
GDP deflator outturn index,1996Q1,63.5
GDP deflator outturn index,1996Q2,64.7
GDP deflator outturn index,1996Q3,65.2
GDP deflator outturn index,1996Q4,65.6
GDP deflator outturn index,1997Q1,64.5
GDP deflator outturn index,1997Q2,64.5
GDP deflator outturn index,1997Q3,65.8
GDP deflator outturn index,1997Q4,64.6
GDP deflator outturn index,1998Q1,65.2
GDP deflator outturn index,1998Q2,65.5
GDP deflator outturn index,1998Q3,66.1
GDP deflator outturn index,1998Q4,66.5
GDP deflator outturn index,1999Q1,66.6
GDP deflator outturn index,1999Q2,66.8
GDP deflator outturn index,1999Q3,66.6
GDP deflator outturn index,1999Q4,67.1
GDP deflator outturn index,2000Q1,67.5
GDP deflator outturn index,2000Q2,67.5
GDP deflator outturn index,2000Q3,67.8
GDP deflator outturn index,2000Q4,67.8
GDP deflator outturn index,2001Q1,68.3
GDP deflator outturn index,2001Q2,69
GDP deflator outturn index,2001Q3,69.2
GDP deflator outturn index,2001Q4,69.1
GDP deflator outturn index,2002Q1,69.8
GDP deflator outturn index,2002Q2,70.3
GDP deflator outturn index,2002Q3,70.6
GDP deflator outturn index,2002Q4,71.1
GDP deflator outturn index,2003Q1,71.4
GDP deflator outturn index,2003Q2,72.2
GDP deflator outturn index,2003Q3,72.5
GDP deflator outturn index,2003Q4,72.6
GDP deflator outturn index,2004Q1,72.9
GDP deflator outturn index,2004Q2,74
GDP deflator outturn index,2004Q3,74.1
GDP deflator outturn index,2004Q4,75.4
GDP deflator outturn index,2005Q1,75.5
GDP deflator outturn index,2005Q2,76.4
GDP deflator outturn index,2005Q3,76.6
GDP deflator outturn index,2005Q4,76.8
GDP deflator outturn index,2006Q1,77.4
GDP deflator outturn index,2006Q2,78.5
GDP deflator outturn index,2006Q3,79.4
GDP deflator outturn index,2006Q4,79.2
GDP deflator outturn index,2007Q1,79.4
GDP deflator outturn index,2007Q2,80.8
GDP deflator outturn index,2007Q3,80.9
GDP deflator outturn index,2007Q4,80.8
GDP deflator outturn index,2008Q1,81.5
GDP deflator outturn index,2008Q2,82.6
GDP deflator outturn index,2008Q3,83.9
GDP deflator outturn index,2008Q4,84.7
GDP deflator outturn index,2009Q1,84.5
GDP deflator outturn index,2009Q2,84.7
GDP deflator outturn index,2009Q3,85.2
GDP deflator outturn index,2009Q4,84.5
GDP deflator outturn index,2010Q1,85.7
GDP deflator outturn index,2010Q2,85.9
GDP deflator outturn index,2010Q3,85.9
GDP deflator outturn index,2010Q4,86.3
GDP deflator outturn index,2011Q1,87.7
GDP deflator outturn index,2011Q2,87.2
GDP deflator outturn index,2011Q3,87.9
GDP deflator outturn index,2011Q4,88.3
GDP deflator outturn index,2012Q1,88.6
GDP deflator outturn index,2012Q2,88.9
GDP deflator outturn index,2012Q3,89.2
GDP deflator outturn index,2012Q4,89.5
GDP deflator outturn index,2013Q1,90.4
GDP deflator outturn index,2013Q2,90.7
GDP deflator outturn index,2013Q3,91.5
GDP deflator outturn index,2013Q4,91.4
GDP deflator outturn index,2014Q1,91.9
GDP deflator outturn index,2014Q2,91.6
GDP deflator outturn index,2014Q3,92.6
GDP deflator outturn index,2014Q4,92.6
GDP deflator outturn index,2015Q1,92.8
GDP deflator outturn index,2015Q2,92.4
GDP deflator outturn index,2015Q3,92.8
GDP deflator outturn index,2015Q4,93.3
GDP deflator outturn index,2016Q1,93.9
GDP deflator outturn index,2016Q2,94
GDP deflator outturn index,2016Q3,94.8
GDP deflator outturn index,2016Q4,95.4
GDP deflator outturn index,2017Q1,95.8
GDP deflator outturn index,2017Q2,96
GDP deflator outturn index,2017Q3,96.2
GDP deflator outturn index,2017Q4,97
GDP deflator outturn index,2018Q1,97.2
GDP deflator outturn index,2018Q2,97.7
GDP deflator outturn index,2018Q3,98
GDP deflator outturn index,2018Q4,98.8
GDP deflator outturn index,2019Q1,98.9
GDP deflator outturn index,2019Q2,99.7
GDP deflator outturn index,2019Q3,100.3
GDP deflator outturn index,2019Q4,101.1
GDP deflator outturn index,2020Q1,102.5
GDP deflator outturn index,2020Q2,110.2
GDP deflator outturn index,2020Q3,106.1
GDP deflator outturn index,2020Q4,105.9
GDP deflator outturn index,2021Q1,106.7
GDP deflator outturn index,2021Q2,104.7
GDP deflator outturn index,2021Q3,105.6
GDP deflator outturn index,2021Q4,106.8
GDP deflator outturn index,2022Q1,108.6
GDP deflator outturn index,2022Q2,110.5
GDP deflator outturn index,2022Q3,112.4
GDP deflator outturn index,2022Q4,113.9
RPI forecast,2022Q4,13.866525303
RPI forecast,2023Q1,12.914559691
RPI forecast,2023Q2,10.104642592
RPI forecast,2023Q3,8.103335046
RPI forecast,2023Q4,4.884945576
RPI forecast,2024Q1,2.677735134
RPI forecast,2024Q2,1.587368519
RPI forecast,2024Q3,1.188805166
RPI forecast,2024Q4,1.070778192
RPI forecast,2025Q1,1.091318891
RPI forecast,2025Q2,0.753859970
RPI forecast,2025Q3,0.967843008
RPI forecast,2025Q4,1.078135950
RPI forecast,2026Q1,1.190953436
RPI forecast,2026Q2,1.545404911
RPI forecast,2026Q3,1.882796050
RPI forecast,2026Q4,2.282761613
RPI forecast,2027Q1,2.591835769
RPI forecast,2027Q2,2.722703519
RPI forecast,2027Q3,2.908785408
RPI forecast,2027Q4,2.977743203
RPI forecast,2028Q1,3.087982539
RPI forecast index,2022Q4,358.3
RPI forecast index,2023Q1,361.853526
RPI forecast index,2023Q2,371.309556
RPI forecast index,2023Q3,373.31685
RPI forecast index,2023Q4,375.80276
RPI forecast index,2024Q1,371.543005
RPI forecast index,2024Q2,377.203607
RPI forecast index,2024Q3,377.75486
RPI forecast index,2024Q4,379.826774
RPI forecast index,2025Q1,375.597724
RPI forecast index,2025Q2,380.047194
RPI forecast index,2025Q3,381.410934
RPI forecast index,2025Q4,383.921823
RPI forecast index,2026Q1,380.070918
RPI forecast index,2026Q2,385.920462
RPI forecast index,2026Q3,388.592124
RPI forecast index,2026Q4,392.685843
RPI forecast index,2027Q1,389.921732
RPI forecast index,2027Q2,396.427932
RPI forecast index,2027Q3,399.895435
RPI forecast index,2027Q4,404.379019
RPI forecast index,2028Q1,401.962447
RPI outturn,1997Q1,2.650762094
RPI outturn,1997Q2,2.683246073
RPI outturn,1997Q3,3.461789680
RPI outturn,1997Q4,3.701298701
RPI outturn,1998Q1,3.421562298
RPI outturn,1998Q2,4.015296367
RPI outturn,1998Q3,3.345959596
RPI outturn,1998Q4,2.943018159
RPI outturn,1999Q1,2.184769039
RPI outturn,1999Q2,1.409313725
RPI outturn,1999Q3,1.160659743
RPI outturn,1999Q4,1.459854015
RPI outturn,2000Q1,2.321319487
RPI outturn,2000Q2,3.081570997
RPI outturn,2000Q3,3.200483092
RPI outturn,2000Q4,3.117505995
RPI outturn,2001Q1,2.567164179
RPI outturn,2001Q2,1.934349355
RPI outturn,2001Q3,1.813926273
RPI outturn,2001Q4,1.046511628
RPI outturn,2002Q1,1.222351572
RPI outturn,2002Q2,1.207590569
RPI outturn,2002Q3,1.494252874
RPI outturn,2002Q4,2.531645570
RPI outturn,2003Q1,3.047728580
RPI outturn,2003Q2,3.011363636
RPI outturn,2003Q3,2.944507361
RPI outturn,2003Q4,2.637485971
RPI outturn,2004Q1,2.566964286
RPI outturn,2004Q2,2.757859901
RPI outturn,2004Q3,3.080308031
RPI outturn,2004Q4,3.444505194
RPI outturn,2005Q1,3.210010881
RPI outturn,2005Q2,3.005904455
RPI outturn,2005Q3,2.774813234
RPI outturn,2005Q4,2.378435518
RPI outturn,2006Q1,2.372166579
RPI outturn,2006Q2,2.970297030
RPI outturn,2006Q3,3.478712357
RPI outturn,2006Q4,3.975219411
RPI outturn,2007Q1,4.531410917
RPI outturn,2007Q2,4.402834008
RPI outturn,2007Q3,3.913697943
RPI outturn,2007Q4,4.170804369
RPI outturn,2008Q1,3.990147783
RPI outturn,2008Q2,4.362578769
RPI outturn,2008Q3,4.957347497
RPI outturn,2008Q4,2.732761360
RPI outturn,2009Q1,-0.078951524
RPI outturn,2009Q2,-1.269546369
RPI outturn,2009Q3,-1.380156418
RPI outturn,2009Q4,0.618620476
RPI outturn,2010Q1,3.950695322
RPI outturn,2010Q2,5.143484397
RPI outturn,2010Q3,4.711553413
RPI outturn,2010Q4,4.672609899
RPI outturn,2011Q1,5.320766190
RPI outturn,2011Q2,5.115585384
RPI outturn,2011Q3,5.242055242
RPI outturn,2011Q4,5.124816446
RPI outturn,2012Q1,3.738452656
RPI outturn,2012Q2,3.107264472
RPI outturn,2012Q3,2.906730634
RPI outturn,2012Q4,3.087023327
RPI outturn,2013Q1,3.255878670
RPI outturn,2013Q2,3.096188248
RPI outturn,2013Q3,3.194844371
RPI outturn,2013Q4,2.628726287
RPI outturn,2014Q1,2.627678210
RPI outturn,2014Q2,2.495995729
RPI outturn,2014Q3,2.391708743
RPI outturn,2014Q4,1.967256403
RPI outturn,2015Q1,0.997899160
RPI outturn,2015Q2,0.976689673
RPI outturn,2015Q3,0.960290683
RPI outturn,2015Q4,0.984073547
RPI outturn,2016Q1,1.391055642
RPI outturn,2016Q2,1.444415785
RPI outturn,2016Q3,1.889460154
RPI outturn,2016Q4,2.243877420
RPI outturn,2017Q1,2.987562380
RPI outturn,2017Q2,3.559623570
RPI outturn,2017Q3,3.784533745
RPI outturn,2017Q4,3.987960873
RPI outturn,2018Q1,3.635458421
RPI outturn,2018Q2,3.351338084
RPI outturn,2018Q3,3.318342049
RPI outturn,2018Q4,3.075253256
RPI outturn,2019Q1,2.486785196
RPI outturn,2019Q2,2.981351827
RPI outturn,2019Q3,2.611764709
RPI outturn,2019Q4,2.176202176
RPI outturn,2020Q1,2.590551867
RPI outturn,2020Q2,1.211072664
RPI outturn,2020Q3,1.100664986
RPI outturn,2020Q4,1.133631055
RPI outturn,2021Q1,1.405393055
RPI outturn,2021Q2,3.361823248
RPI outturn,2021Q3,4.502154916
RPI outturn,2021Q4,6.884058084
RPI outturn,2022Q1,8.326760798
RPI outturn,2022Q2,11.543550178
RPI outturn,2022Q3,12.425393150
RPI outturn,2022Q4,13.866525303
RPI outturn index,1996Q1,150.9
RPI outturn index,1996Q2,152.8
RPI outturn index,1996Q3,153.1
RPI outturn index,1996Q4,154
RPI outturn index,1997Q1,154.9
RPI outturn index,1997Q2,156.9
RPI outturn index,1997Q3,158.4
RPI outturn index,1997Q4,159.7
RPI outturn index,1998Q1,160.2
RPI outturn index,1998Q2,163.2
RPI outturn index,1998Q3,163.7
RPI outturn index,1998Q4,164.4
RPI outturn index,1999Q1,163.7
RPI outturn index,1999Q2,165.5
RPI outturn index,1999Q3,165.6
RPI outturn index,1999Q4,166.8
RPI outturn index,2000Q1,167.5
RPI outturn index,2000Q2,170.6
RPI outturn index,2000Q3,170.9
RPI outturn index,2000Q4,172
RPI outturn index,2001Q1,171.8
RPI outturn index,2001Q2,173.9
RPI outturn index,2001Q3,174
RPI outturn index,2001Q4,173.8
RPI outturn index,2002Q1,173.9
RPI outturn index,2002Q2,176
RPI outturn index,2002Q3,176.6
RPI outturn index,2002Q4,178.2
RPI outturn index,2003Q1,179.2
RPI outturn index,2003Q2,181.3
RPI outturn index,2003Q3,181.8
RPI outturn index,2003Q4,182.9
RPI outturn index,2004Q1,183.8
RPI outturn index,2004Q2,186.3
RPI outturn index,2004Q3,187.4
RPI outturn index,2004Q4,189.2
RPI outturn index,2005Q1,189.7
RPI outturn index,2005Q2,191.9
RPI outturn index,2005Q3,192.6
RPI outturn index,2005Q4,193.7
RPI outturn index,2006Q1,194.2
RPI outturn index,2006Q2,197.6
RPI outturn index,2006Q3,199.3
RPI outturn index,2006Q4,201.4
RPI outturn index,2007Q1,203
RPI outturn index,2007Q2,206.3
RPI outturn index,2007Q3,207.1
RPI outturn index,2007Q4,209.8
RPI outturn index,2008Q1,211.1
RPI outturn index,2008Q2,215.3
RPI outturn index,2008Q3,217.366666667
RPI outturn index,2008Q4,215.533333333
RPI outturn index,2009Q1,210.933333333
RPI outturn index,2009Q2,212.566666667
RPI outturn index,2009Q3,214.366666667
RPI outturn index,2009Q4,216.866666667
RPI outturn index,2010Q1,219.266666667
RPI outturn index,2010Q2,223.5
RPI outturn index,2010Q3,224.466666667
RPI outturn index,2010Q4,227
RPI outturn index,2011Q1,230.933333333
RPI outturn index,2011Q2,234.933333333
RPI outturn index,2011Q3,236.233333333
RPI outturn index,2011Q4,238.633333333
RPI outturn index,2012Q1,239.566666667
RPI outturn index,2012Q2,242.233333333
RPI outturn index,2012Q3,243.1
RPI outturn index,2012Q4,246
RPI outturn index,2013Q1,247.366666667
RPI outturn index,2013Q2,249.733333333
RPI outturn index,2013Q3,250.866666667
RPI outturn index,2013Q4,252.466666667
RPI outturn index,2014Q1,253.866666667
RPI outturn index,2014Q2,255.966666667
RPI outturn index,2014Q3,256.866666667
RPI outturn index,2014Q4,257.433333333
RPI outturn index,2015Q1,256.4
RPI outturn index,2015Q2,258.466666667
RPI outturn index,2015Q3,259.333333333
RPI outturn index,2015Q4,259.966666667
RPI outturn index,2016Q1,259.966666667
RPI outturn index,2016Q2,262.2
RPI outturn index,2016Q3,264.233333333
RPI outturn index,2016Q4,265.8
RPI outturn index,2017Q1,267.733333
RPI outturn index,2017Q2,271.533333
RPI outturn index,2017Q3,274.233333
RPI outturn index,2017Q4,276.4
RPI outturn index,2018Q1,277.466667
RPI outturn index,2018Q2,280.633333
RPI outturn index,2018Q3,283.333333
RPI outturn index,2018Q4,284.9
RPI outturn index,2019Q1,284.366667
RPI outturn index,2019Q2,289
RPI outturn index,2019Q3,290.733333
RPI outturn index,2019Q4,291.1
RPI outturn index,2020Q1,291.733333
RPI outturn index,2020Q2,292.5
RPI outturn index,2020Q3,293.933333
RPI outturn index,2020Q4,294.4
RPI outturn index,2021Q1,295.833333
RPI outturn index,2021Q2,302.333333
RPI outturn index,2021Q3,307.166667
