SA11CD,OAC11CD,OAC11NM,LSOA11CD,LSOA11NM,SOAC11CD,SOAC11NM,LAD18CD,LAD18NM,LACCD,LACNM,RGN11CD,RGN11NM,CTRY11CD,CTRY11NM,FID
N00000030,1a1,Rural Workers and Families,95AA04W1,Clady,2c,Remoter communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,31
N00000031,1a1,Rural Workers and Families,95AA05W1,Cranfield,2d,Rural traits,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,32
N00000032,6b3,Semi-Detached Ageing,95AA05W1,Cranfield,2d,Rural traits,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,33
N00000033,1a1,Rural Workers and Families,95AA05W1,Cranfield,2d,Rural traits,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,34
N00000034,6b4,Older Workers and Retirement,95AA05W1,Cranfield,2d,Rural traits,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,35
N00000035,8c2,Ageing Rural Industry Workers,95AA05W1,Cranfield,2d,Rural traits,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,36
N00000036,8a1,Industrious Transitions,95AA05W1,Cranfield,2d,Rural traits,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,37
N00000037,8c1,Ageing Industrious Workers,95AA06S1,Crumlin 1 (Antrim LGD),5c,Comfortable neighbourhoods,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,38
N00000038,1a1,Rural Workers and Families,95AA06S1,Crumlin 1 (Antrim LGD),5c,Comfortable neighbourhoods,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,39
N00000039,8c1,Ageing Industrious Workers,95AA06S1,Crumlin 1 (Antrim LGD),5c,Comfortable neighbourhoods,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,40
N00000040,8c3,Renting Hard-Pressed Workers,95AA06S2,Crumlin 2 (Antrim LGD),5b,Aspiring urban households,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,41
N00000041,6b2,White Suburban Communities,95AA06S2,Crumlin 2 (Antrim LGD),5b,Aspiring urban households,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,42
N00000042,6b2,White Suburban Communities,95AA06S2,Crumlin 2 (Antrim LGD),5b,Aspiring urban households,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,43
N00000043,5b3,Self-Sufficient Retirement,95AA06S2,Crumlin 2 (Antrim LGD),5b,Aspiring urban households,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,44
N00000044,8a1,Industrious Transitions,95AA06S2,Crumlin 2 (Antrim LGD),5b,Aspiring urban households,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,45
N00000045,1a2,Established Farming Communities,95AA07W1,Drumanaway,2d,Rural traits,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,46
N00000046,1a1,Rural Workers and Families,95AA07W1,Drumanaway,2d,Rural traits,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,47
N00000047,1a1,Rural Workers and Families,95AA07W1,Drumanaway,2d,Rural traits,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,48
N00000048,8d3,Hard-Pressed European Settlers,95AA07W1,Drumanaway,2d,Rural traits,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,49
N00000049,8d3,Hard-Pressed European Settlers,95AA07W1,Drumanaway,2d,Rural traits,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,50
N00000050,1b1,Rural Life,95AA07W1,Drumanaway,2d,Rural traits,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,51
N00004008,6b4,Older Workers and Retirement,95WW15S1,Glebe 1 (Newtownabbey LGD),8b,Ageing suburbanites,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,52
N00004009,6b1,Multi-Ethnic Suburbia,95WW15S1,Glebe 1 (Newtownabbey LGD),8b,Ageing suburbanites,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,53
N00000052,8a1,Industrious Transitions,95AA08W1,Farranshane,4a,Challenged white communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,54
N00000053,7a1,Transitional Eastern European Neighbourhoods,95AA08W1,Farranshane,4a,Challenged white communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,55
N00004010,6b1,Multi-Ethnic Suburbia,95WW15S1,Glebe 1 (Newtownabbey LGD),8b,Ageing suburbanites,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,56
N00000054,8b1,Deprived Blue-Collar Terraces,95AA08W1,Farranshane,4a,Challenged white communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,57
N00004011,6b1,Multi-Ethnic Suburbia,95WW15S1,Glebe 1 (Newtownabbey LGD),8b,Ageing suburbanites,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,58
N00000055,8b1,Deprived Blue-Collar Terraces,95AA08W1,Farranshane,4a,Challenged white communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,59
N00004012,6b3,Semi-Detached Ageing,95WW15S2,Glebe 2 (Newtownabbey LGD),8b,Ageing suburbanites,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,60
N00000056,8b2,Hard-Pressed Rented Terraces,95AA08W1,Farranshane,4a,Challenged white communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,61
N00004013,6b4,Older Workers and Retirement,95WW15S2,Glebe 2 (Newtownabbey LGD),8b,Ageing suburbanites,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,62
N00000057,7a1,Transitional Eastern European Neighbourhoods,95AA09W1,Fountain Hill,4b,Constrained renters,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,63
N00004014,6a3,Detached Retirement Living,95WW15S2,Glebe 2 (Newtownabbey LGD),8b,Ageing suburbanites,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,64
N00000058,8d3,Hard-Pressed European Settlers,95AA09W1,Fountain Hill,4b,Constrained renters,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,65
N00000059,7a2,Hampered Aspiration,95AA09W1,Fountain Hill,4b,Constrained renters,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,66
N00000060,7a1,Transitional Eastern European Neighbourhoods,95AA09W1,Fountain Hill,4b,Constrained renters,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,67
N00000061,5b3,Self-Sufficient Retirement,95AA09W1,Fountain Hill,4b,Constrained renters,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,68
N00000062,6a2,Comfortable Suburbia,95AA09W1,Fountain Hill,4b,Constrained renters,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,69
N00000063,8c2,Ageing Rural Industry Workers,95AA09W1,Fountain Hill,4b,Constrained renters,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,70
N00000064,7a1,Transitional Eastern European Neighbourhoods,95AA10W1,Greystone (Antrim LGD),5d,Endeavouring social renters,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,71
N00000065,6b3,Semi-Detached Ageing,95AA10W1,Greystone (Antrim LGD),5d,Endeavouring social renters,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,72
N00000066,6b3,Semi-Detached Ageing,95AA10W1,Greystone (Antrim LGD),5d,Endeavouring social renters,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,73
N00000067,8d3,Hard-Pressed European Settlers,95AA10W1,Greystone (Antrim LGD),5d,Endeavouring social renters,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,74
N00000068,6a2,Comfortable Suburbia,95AA10W1,Greystone (Antrim LGD),5d,Endeavouring social renters,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,75
N00000069,7c2,Constrained Young Families,95AA10W1,Greystone (Antrim LGD),5d,Endeavouring social renters,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,76
N00000070,6a3,Detached Retirement Living,95AA11S1,Massereene 1,5e,Primary sector workers,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,77
N00000071,5b2,Communal Retirement,95AA11S1,Massereene 1,5e,Primary sector workers,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,78
N00000072,5a1,White Professionals,95AA11S1,Massereene 1,5e,Primary sector workers,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,79
N00000073,7a1,Transitional Eastern European Neighbourhoods,95AA11S1,Massereene 1,5e,Primary sector workers,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,80
N00000074,5a1,White Professionals,95AA11S2,Massereene 2,8c,Comfortable suburbia,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,81
N00000075,5b2,Communal Retirement,95AA11S2,Massereene 2,8c,Comfortable suburbia,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,82
N00000076,6b2,White Suburban Communities,95AA11S2,Massereene 2,8c,Comfortable suburbia,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,83
N00000077,6b3,Semi-Detached Ageing,95AA11S2,Massereene 2,8c,Comfortable suburbia,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,84
N00000078,6b1,Multi-Ethnic Suburbia,95AA11S2,Massereene 2,8c,Comfortable suburbia,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,85
N00000079,1a1,Rural Workers and Families,95AA12W1,Parkgate,2c,Remoter communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,86
N00000080,1a2,Established Farming Communities,95AA12W1,Parkgate,2c,Remoter communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,87
N00000081,1b1,Rural Life,95AA12W1,Parkgate,2c,Remoter communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,88
N00000082,1a1,Rural Workers and Families,95AA12W1,Parkgate,2c,Remoter communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,89
N00000083,1a1,Rural Workers and Families,95AA12W1,Parkgate,2c,Remoter communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,90
N00000084,1a1,Rural Workers and Families,95AA12W1,Parkgate,2c,Remoter communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,91
N00000085,7a1,Transitional Eastern European Neighbourhoods,95AA13S1,Randalstown 1,5e,Primary sector workers,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,92
N00000086,5a1,White Professionals,95AA13S1,Randalstown 1,5e,Primary sector workers,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,93
N00000087,1a2,Established Farming Communities,95AA13S1,Randalstown 1,5e,Primary sector workers,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,94
N00000088,7a2,Hampered Aspiration,95AA13S2,Randalstown 2,5e,Primary sector workers,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,95
N00000089,1b1,Rural Life,95AA13S2,Randalstown 2,5e,Primary sector workers,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,96
N00000090,6b2,White Suburban Communities,95AA13S2,Randalstown 2,5e,Primary sector workers,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,97
N00000091,5a1,White Professionals,95AA13S2,Randalstown 2,5e,Primary sector workers,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,98
N00000092,1a1,Rural Workers and Families,95AA14W1,Shilvodan,2c,Remoter communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,99
N00000093,1c3,Detached Rural Retirement,95AA14W1,Shilvodan,2c,Remoter communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,100
N00000094,6a2,Comfortable Suburbia,95AA14W1,Shilvodan,2c,Remoter communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,101
N00000095,1a1,Rural Workers and Families,95AA14W1,Shilvodan,2c,Remoter communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,102
N00000096,1a1,Rural Workers and Families,95AA14W1,Shilvodan,2c,Remoter communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,103
N00000097,5a1,White Professionals,95AA15S1,Springfarm 1,3a,Achieving neighbourhoods,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,104
N00000098,5a2,Multi-Ethnic Professionals with Families,95AA15S1,Springfarm 1,3a,Achieving neighbourhoods,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,105
N00000099,8b2,Hard-Pressed Rented Terraces,95AA15S1,Springfarm 1,3a,Achieving neighbourhoods,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,106
N00000100,7a1,Transitional Eastern European Neighbourhoods,95AA15S1,Springfarm 1,3a,Achieving neighbourhoods,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,107
N00004058,5a1,White Professionals,95WW20S2,Mallusk 2,8c,Comfortable suburbia,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,108
N00000101,7a1,Transitional Eastern European Neighbourhoods,95AA15S2,Springfarm 2,4b,Constrained renters,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,109
N00000102,8c1,Ageing Industrious Workers,95AA15S2,Springfarm 2,4b,Constrained renters,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,110
N00004015,6b4,Older Workers and Retirement,95WW15S2,Glebe 2 (Newtownabbey LGD),8b,Ageing suburbanites,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,111
N00004016,5b1,Delayed Retirement,95WW15S2,Glebe 2 (Newtownabbey LGD),8b,Ageing suburbanites,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,112
N00004017,5b2,Communal Retirement,95WW16S1,Glengormley 1,8b,Ageing suburbanites,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,113
N00004018,5b3,Self-Sufficient Retirement,95WW16S1,Glengormley 1,8b,Ageing suburbanites,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,114
N00004059,5a1,White Professionals,95WW20S2,Mallusk 2,8c,Comfortable suburbia,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,115
N00004019,6b3,Semi-Detached Ageing,95WW16S1,Glengormley 1,8b,Ageing suburbanites,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,116
N00004060,5a1,White Professionals,95WW20S2,Mallusk 2,8c,Comfortable suburbia,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,117
N00000103,8d3,Hard-Pressed European Settlers,95AA15S2,Springfarm 2,4b,Constrained renters,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,118
N00004061,6b2,White Suburban Communities,95WW20S2,Mallusk 2,8c,Comfortable suburbia,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,119
N00004020,6b3,Semi-Detached Ageing,95WW16S1,Glengormley 1,8b,Ageing suburbanites,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,120
N00004062,6a2,Comfortable Suburbia,95WW20S3,Mallusk 3,8c,Comfortable suburbia,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,121
N00004021,5b3,Self-Sufficient Retirement,95WW16S1,Glengormley 1,8b,Ageing suburbanites,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,122
N00004063,6b4,Older Workers and Retirement,95WW20S3,Mallusk 3,8c,Comfortable suburbia,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,123
N00004022,7c1,Challenged Transitionaries,95WW16S2,Glengormley 2,4a,Challenged white communities,N09000001,Antrim and Newtownabbey,7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,124
